Year,Province,Pop,UnempRate,GDP,CPI,RailToBeijing,RailToTianjin,RailToHebei,RailToShanxi,RailToInnerMongolia,RailToLiaoning,RailToJilin,RailToHeilongjiang,RailToShanghai,RailToJiangsu,RailToZhejiang,RailToAnhui,RailToFujian,RailToJiangxi,RailToShandong,RailToHenan,RailToHubei,RailToHunan,RailToGuangdong,RailToGuangxi,RailToHainan,RailToChongqing,RailToSichuan,RailToGuizhou,RailToYunnan,RailToTibet,RailToShaanxi,RailToGansu,RailToQinghai,RailToNingxia,RailToXinjiang,Rail_Total
1992,Beijing,11.02,0.3,70.91,109.9,9730.0,3150.0,4810.0,950.0,580.0,1230.0,320.0,620.0,350.0,770.0,350.0,160.0,180.0,80.0,310.0,1000.0,540.0,370.0,1100.0,130.0,0.0,0.0,480.0,90.0,110.0,0.0,310.0,140.0,50.0,70.0,140.0,28120.0
1992,Tianjin,8.79,1.1,41.1,111.4,1470.0,4240.0,3220.0,1170.0,1030.0,770.0,260.0,450.0,200.0,710.0,300.0,150.0,240.0,80.0,550.0,730.0,330.0,170.0,780.0,90.0,0.0,0.0,270.0,50.0,90.0,0.0,360.0,270.0,60.0,130.0,370.0,18540.0
1992,Hebei,62.75,2.5,127.85,106.1,13140.0,18380.0,44730.0,3170.0,2300.0,6710.0,1120.0,1570.0,730.0,2550.0,830.0,510.0,660.0,360.0,3110.0,2090.0,1990.0,840.0,2210.0,880.0,0.0,0.0,1040.0,150.0,230.0,0.0,400.0,300.0,80.0,170.0,210.0,110460.0
1992,Shanxi,29.79,0.7,55.11,107.3,15780.0,17360.0,83060.0,26810.0,2800.0,15440.0,2470.0,840.0,1310.0,16470.0,2400.0,5140.0,1430.0,1390.0,24850.0,6920.0,9430.0,3610.0,1750.0,1720.0,0.0,0.0,1130.0,80.0,60.0,0.0,1930.0,430.0,410.0,250.0,80.0,245350.0
1992,InnerMongolia,22.07,3.3,42.17,107.4,950.0,3190.0,9340.0,1460.0,29770.0,7170.0,3720.0,9480.0,150.0,700.0,290.0,210.0,90.0,90.0,1500.0,730.0,360.0,230.0,340.0,120.0,0.0,0.0,270.0,40.0,30.0,0.0,210.0,340.0,160.0,870.0,80.0,71890.0
1992,Liaoning,39.58,1.9,147.3,106.7,2520.0,3470.0,5420.0,1390.0,4760.0,95300.0,10210.0,11250.0,390.0,1200.0,540.0,300.0,320.0,160.0,1660.0,1320.0,730.0,760.0,1080.0,220.0,0.0,0.0,1330.0,170.0,130.0,0.0,390.0,400.0,190.0,150.0,270.0,146030.0
1992,Jilin,24.74,1.6,55.81,108.0,1300.0,910.0,2980.0,520.0,1240.0,12110.0,32950.0,5700.0,290.0,750.0,360.0,130.0,290.0,80.0,2020.0,670.0,340.0,260.0,870.0,230.0,0.0,0.0,660.0,100.0,80.0,0.0,140.0,80.0,30.0,20.0,90.0,65200.0
1992,Heilongjiang,36.08,1.9,95.97,109.2,1830.0,1470.0,4860.0,1420.0,2650.0,21980.0,16570.0,72980.0,240.0,970.0,310.0,220.0,270.0,0.0,3000.0,1130.0,300.0,260.0,760.0,160.0,0.0,0.0,260.0,80.0,60.0,0.0,230.0,160.0,30.0,210.0,80.0,132490.0
1992,Shanghai,12.89,1.8,111.42999999999999,110.0,440.0,230.0,360.0,220.0,120.0,460.0,330.0,390.0,1020.0,560.0,1570.0,1020.0,910.0,970.0,840.0,680.0,400.0,450.0,610.0,270.0,0.0,0.0,530.0,180.0,290.0,0.0,400.0,180.0,60.0,40.0,170.0,13700.0
1992,Jiangsu,69.11,2.0,213.6,106.6,530.0,370.0,640.0,830.0,270.0,1290.0,490.0,540.0,3310.0,17460.0,2230.0,3080.0,870.0,630.0,2470.0,2780.0,430.0,530.0,910.0,250.0,0.0,0.0,700.0,160.0,230.0,0.0,1050.0,680.0,180.0,80.0,440.0,43430.0
