,Anhui,Beijing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,InnerMongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Yunnan,Zhejiang
0,8.2,9.9,5.9,7.2,7.3,5.9,7.8,8.7,6.1,9.2,5.4,9.6,10.7,7.4,6.6,5.7,8.0,6.7,8.3,8.0,10.3,6.8,10.0,7.3,7.4,11.4,8.6,8.9,7.5
1,14.7,19.0,15.4,15.4,21.6,22.0,16.0,23.3,13.8,14.8,10.4,18.4,16.8,14.1,18.2,14.6,12.6,15.2,14.3,13.2,13.1,12.7,20.2,15.1,16.8,17.6,13.0,21.3,19.8
2,27.7,37.2,34.4,31.8,50.2,54.2,32.4,52.5,29.2,26.0,20.4,36.0,29.0,27.5,41.4,32.4,21.8,32.2,26.3,23.6,18.7,24.5,40.6,30.7,35.6,30.0,21.8,46.1,44.4
3,51.3,36.7,45.1,40.3,21.9,34.0,36.4,33.5,40.2,36.1,54.8,39.1,42.3,40.5,33.2,51.5,36.6,42.5,40.7,39.0,53.9,44.8,31.3,45.4,40.2,36.8,54.1,15.0,34.8
4,-9.4,2.1,-5.0,12.0,-1.4,3.2,18.6,-12.9,0.4,4.5,-0.9,9.4,6.4,6.7,1.0,-3.1,4.4,-0.3,5.1,10.4,3.6,6.0,8.3,0.3,6.3,-2.1,5.7,25.5,0.2
5,0.1,0.2,-12.7,-9.0,-7.0,-17.3,-15.5,-14.1,-9.1,-10.9,-1.5,-11.8,-14.9,-12.2,-3.7,-8.6,-8.8,-8.5,-13.8,-3.6,-8.9,-6.4,-9.8,-10.1,-9.1,-3.6,-7.9,-16.5,-9.5
6,-15.9,-7.3,-6.7,-11.7,-8.3,-10.6,-8.0,-6.2,-3.7,-1.0,-10.5,-9.2,-7.0,-1.7,-13.5,-10.8,-3.3,-6.5,-2.2,-7.2,-5.0,-10.8,-10.0,-6.5,-3.3,-8.7,-9.9,-4.5,-7.4
7,-2.6,-3.4,-4.3,-8.8,-9.2,-10.6,-6.5,-9.7,-11.8,-7.6,-14.5,-11.2,-5.0,-11.1,-5.2,-1.0,-9.8,-8.3,-7.6,-7.5,-14.4,-7.4,-5.6,-10.4,-11.4,-7.7,-6.8,-3.5,-6.5
8,-6.6,-3.0,-2.1,-5.2,-1.8,-0.9,-2.6,0.3,-2.5,-10.4,-4.3,-3.4,1.1,0.8,-2.7,-6.2,-4.4,-2.8,-3.9,-2.9,-3.4,-0.9,4.5,1.6,-3.7,-2.3,-8.2,-4.3,-3.0
9,6.5,9.3,8.1,3.3,7.8,3.7,0.1,6.7,2.9,1.3,3.8,1.4,3.2,4.3,2.9,3.7,-0.2,2.5,1.4,-0.5,2.9,2.0,4.5,12.5,3.3,1.0,3.4,-5.7,5.4
10,0.1,2.3,-8.1,13.0,-4.9,2.4,6.4,-6.7,2.1,5.8,3.7,2.9,-5.5,-0.8,2.2,-2.1,6.7,0.2,5.6,8.8,4.0,5.0,-5.0,-8.4,6.1,4.4,13.2,1.5,-2.6
11,-4.0,-11.6,1.1,-8.0,-2.8,-3.9,-6.6,1.5,-4.0,-3.7,-1.1,-1.8,0.3,-0.6,-4.0,1.3,-4.1,-3.3,-5.0,1.7,-5.3,-5.7,1.5,-4.4,-5.1,-3.6,-9.8,1.2,-2.3
12,7.1,4.2,3.4,3.3,4.6,5.1,5.6,1.3,8.6,4.1,4.6,7.4,8.2,6.2,4.6,2.2,4.6,7.3,6.3,1.4,7.3,4.7,-0.7,8.6,5.7,3.8,2.4,4.0,7.5
13,10.1,2.6,10.4,4.7,7.8,11.0,9.6,13.0,8.5,9.6,13.0,10.3,10.5,4.3,10.3,8.9,9.9,7.1,7.7,5.6,5.9,8.6,6.4,8.7,11.3,4.9,7.3,15.6,7.9
14,-4.8,2.5,-1.4,0.5,0.9,-1.6,-5.0,-4.3,-3.2,-4.0,-4.5,-1.1,-3.3,1.4,-1.9,-1.9,-3.7,-2.8,-2.9,-4.0,-2.6,-2.1,-1.4,-1.3,-4.7,-0.1,-3.3,-7.8,-3.9
15,0.8,-0.3,-2.0,0.5,0.8,-0.9,3.1,1.5,1.5,3.3,-0.3,-1.0,-0.4,-0.3,0.6,0.2,1.2,0.8,2.7,3.2,2.1,-0.4,1.6,1.4,3.5,1.5,2.5,2.9,0.7
16,13.5,5.4,14.0,13.0,7.5,15.7,15.8,12.3,10.7,11.8,13.6,11.2,14.0,10.8,9.7,12.0,13.1,12.9,12.7,16.9,12.6,11.2,7.2,9.8,13.1,9.6,13.9,13.9,10.4
17,8.0,10.5,3.4,14.2,9.4,11.2,10.0,10.5,9.2,6.4,10.2,9.3,6.8,7.9,7.6,8.4,4.7,3.6,14.5,16.9,8.8,7.1,11.0,12.4,3.5,7.8,13.3,5.3,6.6
18,-15.1,-14.7,-14.6,-12.5,-18.1,-21.9,-19.1,-15.9,-14.5,-10.6,-15.8,-13.8,-13.2,-12.3,-12.0,-14.1,-9.9,-9.2,-14.9,-12.4,-11.3,-10.6,-12.8,-15.6,-7.8,-13.8,-14.1,-10.2,-14.5
19,11.1,10.2,13.2,9.7,13.9,13.2,11.3,15.8,10.7,11.3,11.7,9.5,10.1,10.2,12.2,10.4,10.9,9.0,10.9,11.0,11.0,8.7,10.1,9.8,8.0,12.5,11.5,10.3,14.4
