Year,Province,Pop,UnempRate,GDP,CPI
1992,Beijing,11.02,0.30,70.90,109.90
1992,Tianjin,8.79,1.10,41.10,111.40
1992,Hebei,62.75,2.50,127.90,106.10
1992,Shanxi,29.79,0.70,55.10,107.30
1992,InnerMongolia,22.07,3.30,42.20,107.40
1992,Liaoning,39.58,1.90,147.30,106.70
1992,Jilin,24.74,1.60,55.80,108.00
1992,Heilongjiang,36.08,1.90,96.00,109.20
1992,Shanghai,12.89,1.80,111.40,110.00
1992,Jiangsu,69.11,2.00,213.60,106.60
1992,Zhejiang,42.86,2.40,137.60,107.50
1992,Anhui,58.17,2.70,80.10,108.20
1992,Fujian,31.16,1.90,78.50,105.90
1992,Jiangxi,39.13,1.90,57.30,105.70
1992,Shandong,86.10,2.00,219.70,106.80
1992,Henan,88.61,2.60,128.00,105.40
1992,Hubei,55.80,2.20,108.80,109.60
1992,Hunan,62.08,2.90,98.70,110.70
1992,Guangdong,67.06,1.90,244.80,107.30
1992,Guangxi,43.80,3.30,64.70,105.90
1992,Hainan,6.86,2.30,18.50,108.70
1992,Chongqing,29.51,,46.10,
1992,Sichuan,79.92,3.60,117.70,107.40
1992,Guizhou,33.61,3.40,34.00,107.80
1992,Yunnan,38.32,2.30,61.90,108.90
1992,Tibet,2.29,,3.30,
1992,Shaanxi,34.05,2.20,53.20,110.30
1992,Gansu,23.14,3.50,31.80,107.20
1992,Qinghai,4.61,3.50,8.80,108.00
1992,Ningxia,4.82,4.20,8.30,108.30
1992,Xinjiang,15.81,2.80,40.20,108.60
1993,Beijing,11.12,0.40,88.60,119.00
1993,Tianjin,8.86,1.00,53.90,117.60
1993,Hebei,63.34,2.00,169.10,113.80
1993,Shanxi,30.13,0.80,68.00,115.10
1993,InnerMongolia,22.32,2.60,53.80,114.10
1993,Liaoning,39.83,2.50,201.10,115.20
1993,Jilin,24.96,1.30,71.90,112.60
1993,Heilongjiang,36.40,2.20,119.80,114.80
1993,Shanghai,12.95,2.50,151.90,120.20
1993,Jiangsu,69.67,2.00,299.80,118.20
1993,Zhejiang,43.13,2.60,192.60,119.80
1993,Anhui,58.70,2.70,103.70,114.70
1993,Fujian,31.50,1.50,111.40,115.40
1993,Jiangxi,39.66,1.90,72.30,114.60
1993,Shandong,86.42,2.50,277.00,112.70
1993,Henan,89.46,2.40,166.00,110.40
1993,Hubei,56.53,2.20,132.60,118.40
1993,Hunan,62.46,3.40,124.50,116.80
1993,Guangdong,69.37,1.90,346.90,121.60
1993,Guangxi,44.38,2.90,87.20,122.00
1993,Hainan,7.01,2.40,26.00,123.30
1993,Chongqing,29.65,,60.90,
1993,Sichuan,80.37,3.50,148.60,116.80
1993,Guizhou,34.09,3.40,41.80,116.00
1993,Yunnan,38.85,2.20,78.30,121.30
1993,Tibet,2.32,,3.70,
1993,Shaanxi,34.43,2.50,67.80,113.10
1993,Gansu,23.45,3.60,37.20,115.40
1993,Qinghai,4.67,2.50,11.00,113.20
1993,Ningxia,4.91,3.80,10.40,114.30
1993,Xinjiang,16.05,2.70,49.50,113.00
1994,Beijing,11.25,0.40,114.50,124.90
1994,Tianjin,8.91,1.10,73.30,124.00
1994,Hebei,63.88,2.70,218.70,122.60
1994,Shanxi,30.45,1.20,82.70,125.20
1994,InnerMongolia,22.61,3.70,69.50,122.90
1994,Liaoning,40.07,2.60,246.20,124.30
1994,Jilin,25.16,1.90,93.80,120.60
1994,Heilongjiang,36.72,2.40,160.50,121.90
1994,Shanghai,12.99,2.70,199.10,123.90
1994,Jiangsu,70.21,2.10,405.70,123.20
1994,Zhejiang,43.41,3.00,268.90,124.80
1994,Anhui,59.38,3.00,132.10,126.90
1994,Fujian,31.83,2.30,164.40,125.30
1994,Jiangxi,40.15,1.90,94.80,126.90
1994,Shandong,86.71,3.00,384.50,123.40
1994,Henan,90.27,2.30,221.70,125.20
1994,Hubei,57.19,2.90,170.10,125.30
1994,Hunan,63.03,3.60,165.00,125.30
1994,Guangdong,72.10,2.40,461.90,121.70
1994,Guangxi,44.93,3.60,119.80,126.00
1994,Hainan,7.11,3.60,33.20,126.70
1994,Chongqing,29.86,,83.40,
1994,Sichuan,80.99,3.70,200.10,124.60
1994,Guizhou,34.58,5.50,52.40,122.80
1994,Yunnan,39.39,2.70,98.40,119.20
1994,Tibet,2.36,,4.60,
1994,Shaanxi,34.81,3.50,83.90,126.70
1994,Gansu,23.87,5.20,45.40,123.70
1994,Qinghai,4.74,5.90,13.80,121.80
1994,Ningxia,5.04,5.20,13.60,123.10
1994,Xinjiang,16.33,3.20,66.20,126.70
1995,Beijing,12.51,0.40,150.80,117.30
1995,Tianjin,8.95,1.00,93.20,115.30
1995,Hebei,64.37,2.20,285.00,115.20
1995,Shanxi,30.77,1.40,107.60,116.90
1995,InnerMongolia,22.84,3.80,85.70,117.50
1995,Liaoning,40.34,2.70,279.30,116.10
1995,Jilin,25.51,2.00,113.70,115.20
1995,Heilongjiang,37.01,2.90,199.10,116.10
1995,Shanghai,13.01,2.60,249.90,118.70
1995,Jiangsu,70.66,2.10,515.50,115.80
1995,Zhejiang,43.70,3.20,355.80,116.60
1995,Anhui,60.00,3.10,181.10,114.80
1995,Fujian,32.27,2.60,209.50,115.20
1995,Jiangxi,40.63,2.10,117.00,116.90
1995,Shandong,87.05,3.20,495.30,117.60
1995,Henan,91.00,2.60,298.80,116.50
1995,Hubei,57.72,3.10,210.90,120.00
1995,Hunan,63.92,3.80,213.20,119.00
1995,Guangdong,73.87,2.60,593.30,114.00
1995,Guangxi,45.43,3.60,149.80,118.40
1995,Hainan,7.24,4.20,36.30,113.50
1995,Chongqing,30.02,,112.30,
1995,Sichuan,91.61,3.70,244.30,118.50
1995,Guizhou,35.08,5.80,63.60,121.40
1995,Yunnan,39.90,2.90,122.20,121.30
1995,Tibet,2.40,,5.60,
1995,Shaanxi,35.13,3.50,103.70,119.00
1995,Gansu,24.38,5.50,55.80,119.80
1995,Qinghai,4.81,7.40,16.80,118.00
1995,Ningxia,5.12,6.40,17.50,117.10
1995,Xinjiang,16.61,3.50,81.50,119.70
1996,Beijing,12.59,0.60,178.90,111.60
1996,Tianjin,8.98,1.00,112.20,109.00
1996,Hebei,64.84,1.90,345.30,107.10
1996,Shanxi,31.09,1.70,129.20,107.90
1996,InnerMongolia,23.07,3.90,102.30,107.60
1996,Liaoning,40.57,3.60,315.80,107.90
1996,Jilin,25.79,2.20,134.70,107.20
1996,Heilongjiang,37.28,3.00,237.10,107.10
1996,Shanghai,13.04,2.60,295.80,109.20
1996,Jiangsu,71.10,2.30,600.40,109.30
1996,Zhejiang,44.00,3.00,418.90,107.90
1996,Anhui,60.54,3.10,209.30,109.90
1996,Fujian,32.61,2.40,248.40,105.90
1996,Jiangxi,41.05,2.30,141.00,108.40
1996,Shandong,87.38,3.50,588.40,109.60
1996,Henan,91.72,2.50,363.50,110.50
1996,Hubei,58.25,3.50,250.00,109.40
1996,Hunan,64.28,3.90,254.00,107.70
1996,Guangdong,75.70,2.50,683.50,107.00
1996,Guangxi,45.89,3.70,169.80,106.50
1996,Hainan,7.34,4.30,39.00,104.30
1996,Chongqing,30.23,,131.50,109.70
1996,Sichuan,82.15,3.70,287.20,109.30
1996,Guizhou,35.55,6.20,72.30,109.10
1996,Yunnan,40.42,2.90,151.80,108.70
1996,Tibet,2.44,,6.50,
1996,Shaanxi,35.43,5.20,121.60,109.70
1996,Gansu,24.67,5.50,72.30,110.20
1996,Qinghai,4.88,7.20,18.40,110.80
1996,Ningxia,5.21,5.20,20.30,106.80
1996,Xinjiang,16.89,3.40,90.10,110.50
1997,Beijing,12.40,0.70,207.60,105.30
1997,Tianjin,9.00,1.30,126.50,103.10
1997,Hebei,65.25,2.00,395.40,103.50
1997,Shanxi,31.41,2.40,147.60,103.10
1997,InnerMongolia,23.26,3.80,115.40,104.50
1997,Liaoning,40.77,3.90,358.30,103.10
1997,Jilin,26.00,2.10,146.40,103.70
1997,Heilongjiang,37.51,2.60,266.80,104.40
1997,Shanghai,13.05,2.70,343.90,102.80
1997,Jiangsu,71.48,2.50,668.00,101.70
1997,Zhejiang,44.22,3.40,468.60,102.80
1997,Anhui,61.09,3.20,234.70,101.30
1997,Fujian,32.82,2.40,287.10,101.70
1997,Jiangxi,41.50,3.00,160.60,102.00
1997,Shandong,87.85,3.40,653.70,102.80
1997,Henan,92.43,2.30,404.10,103.50
1997,Hubei,58.73,3.50,285.60,103.20
1997,Hunan,64.65,3.60,284.90,102.80
1997,Guangdong,77.80,2.70,777.50,101.90
1997,Guangxi,46.33,4.20,181.70,100.80
1997,Hainan,7.43,4.30,41.10,100.80
1997,Chongqing,30.43,2.90,151.00,103.10
1997,Sichuan,82.65,3.90,324.10,105.10
1997,Guizhou,36.06,6.50,80.60,103.40
1997,Yunnan,40.94,2.80,167.60,104.30
1997,Tibet,2.48,,7.70,
1997,Shaanxi,35.70,6.40,136.40,104.80
1997,Gansu,24.94,5.20,79.40,102.90
1997,Qinghai,4.96,7.40,20.30,104.80
1997,Ningxia,5.29,4.80,22.50,103.80
1997,Xinjiang,17.18,3.70,104.00,103.70
1998,Beijing,12.46,0.70,237.60,102.40
1998,Tianjin,9.05,1.40,137.50,99.50
1998,Hebei,65.69,2.30,425.60,98.40
1998,Shanxi,31.72,2.20,161.10,98.60
1998,InnerMongolia,23.45,3.10,126.30,99.30
1998,Liaoning,40.90,3.40,388.20,99.30
1998,Jilin,26.03,3.10,157.70,99.20
1998,Heilongjiang,37.73,2.40,277.40,100.40
1998,Shanghai,13.07,2.80,380.10,100.00
1998,Jiangsu,71.82,2.60,720.00,99.40
1998,Zhejiang,44.47,3.20,505.30,99.70
1998,Anhui,61.52,3.20,254.30,100.00
1998,Fujian,32.99,2.10,316.00,99.70
1998,Jiangxi,41.91,2.50,172.00,101.00
1998,Shandong,88.38,3.30,702.10,99.40
1998,Henan,93.15,2.60,430.80,97.50
1998,Hubei,59.07,3.30,311.40,98.40
1998,Hunan,65.02,3.90,302.60,100.20
1998,Guangdong,79.90,2.30,853.10,98.20
1998,Guangxi,46.75,3.20,191.10,97.00
1998,Hainan,7.53,3.30,44.20,97.30
1998,Chongqing,30.60,3.50,160.20,96.40
1998,Sichuan,83.16,3.70,347.40,99.60
1998,Guizhou,36.58,3.80,85.80,100.10
1998,Yunnan,41.44,2.20,183.10,101.70
1998,Tibet,2.52,,9.20,100.70
1998,Shaanxi,35.96,3.10,145.80,98.40
1998,Gansu,25.19,3.30,88.80,99.00
1998,Qinghai,5.03,2.50,22.10,100.70
1998,Ningxia,5.37,4.70,24.50,100.00
1998,Xinjiang,17.47,3.90,110.70,100.20
1999,Beijing,12.57,0.60,267.80,100.60
1999,Tianjin,9.10,2.90,150.10,98.90
1999,Hebei,66.14,2.50,451.40,98.10
1999,Shanxi,32.04,2.10,166.70,99.60
1999,InnerMongolia,23.62,3.10,137.90,99.80
1999,Liaoning,41.03,3.50,417.20,98.60
1999,Jilin,26.16,3.30,168.20,98.00
1999,Heilongjiang,37.92,2.50,286.60,96.80
1999,Shanghai,13.13,3.40,418.90,101.50
1999,Jiangsu,72.13,2.80,769.80,98.70
1999,Zhejiang,44.67,3.50,544.40,98.80
1999,Anhui,62.05,3.20,271.20,97.80
1999,Fujian,33.16,2.20,341.40,99.10
1999,Jiangxi,42.31,2.60,185.40,98.60
1999,Shandong,88.83,3.20,749.40,99.30
1999,Henan,93.87,2.60,451.80,96.90
1999,Hubei,59.38,3.30,322.90,97.80
1999,Hunan,65.32,3.90,321.50,100.50
1999,Guangdong,82.18,2.30,925.10,98.20
1999,Guangxi,47.13,3.30,197.10,97.70
1999,Hainan,7.62,3.20,47.70,98.30
1999,Chongqing,30.72,3.50,166.30,99.30
1999,Sichuan,83.59,3.70,364.90,98.50
1999,Guizhou,37.10,4.00,93.80,99.20
1999,Yunnan,41.92,2.50,190.00,99.70
1999,Tibet,2.56,,10.60,100.00
1999,Shaanxi,36.18,2.60,159.30,97.80
1999,Gansu,25.43,2.80,95.60,97.60
1999,Qinghai,5.10,2.50,23.90,99.50
1999,Ningxia,5.43,4.50,26.50,98.70
1999,Xinjiang,17.75,3.70,116.30,97.40
2000,Beijing,13.64,0.80,316.10,103.50
2000,Tianjin,9.12,3.20,170.20,99.60
2000,Hebei,66.74,2.80,504.40,99.70
2000,Shanxi,32.48,2.20,184.60,103.90
2000,InnerMongolia,23.72,3.30,153.90,101.30
2000,Liaoning,41.35,3.70,466.90,99.90
2000,Jilin,26.27,3.70,195.20,98.60
2000,Heilongjiang,38.07,3.30,315.10,98.30
2000,Shanghai,13.22,3.50,477.10,102.50
2000,Jiangsu,73.27,3.20,855.40,100.10
2000,Zhejiang,45.01,3.50,614.10,101.00
2000,Anhui,62.78,3.30,290.20,100.70
